user_id,segment,trade_frequency_per_week,portfolio_value_usd,risk_score,avg_holding_days,volatility_exposure
U00001,Équilibré,14,2175.18,0.397,61.6,0.127
U00002,Aventurier,42,2292.97,0.734,14.7,0.588
U00003,Équilibré,12,1966.61,0.363,75.9,0.252
U00004,Équilibré,8,1534.08,0.506,58.5,0.267
U00005,Prudent,1,1003.46,0.073,164.3,0.072
U00006,Prudent,4,495.12,0.057,215.2,0.047
U00007,Prudent,3,792.43,0.161,159.6,0.054
U00008,Aventurier,44,5858.63,0.755,10.7,0.492
U00009,Équilibré,13,1569.03,0.384,43.3,0.153
U00010,Équilibré,13,915.87,0.561,32.3,0.345
U00011,Prudent,4,866.48,0.066,132.3,0.096
U00012,Aventurier,40,1625.31,0.645,14.2,0.543
U00013,Aventurier,48,3930.71,0.933,11.6,0.439
U00014,Prudent,1,969.07,0.224,113.2,0.099
U00015,Prudent,1,1110.33,0.113,205.8,0.076
U00016,Prudent,1,765.67,0.081,201.8,0.053
U00017,Prudent,1,998.89,0.082,143.1,0.074
U00018,Équilibré,8,1894.47,0.392,44.5,0.31
U00019,Équilibré,17,1368.34,0.5,60.9,0.113
U00020,Prudent,1,827.43,0.084,231.7,0.094
U00021,Équilibré,13,790.54,0.46,45.1,0.157
U00022,Prudent,2,515.65,0.054,154.8,0.061
U00023,Prudent,1,751.74,0.24,162.6,0.021
U00024,Équilibré,12,1700.68,0.448,30.6,0.346
U00025,Équilibré,12,1750.11,0.334,28.1,0.152
U00026,Équilibré,11,2102.38,0.479,46.8,0.322
U00027,Prudent,4,836.38,0.204,186.7,0.048
U00028,Équilibré,8,1565.96,0.569,40.7,0.262
U00029,Équilibré,13,1759.83,0.494,38.3,0.1
U00030,Prudent,1,762.6,0.094,166.6,0.03
U00031,Équilibré,12,2419.69,0.564,26.2,0.154
U00032,Prudent,3,1136.01,0.221,135.6,0.09
U00033,Prudent,3,713.63,0.064,242.5,0.032
U00034,Aventurier,51,5520.01,0.633,4.2,0.824
U00035,Aventurier,36,3312.82,0.951,1.7,0.517
U00036,Aventurier,50,1569.96,0.886,12.8,0.638
U00037,Prudent,3,900.54,0.125,232.1,0.099
U00038,Prudent,0,491.05,0.241,114.5,0.057
U00039,Équilibré,10,2529.23,0.353,24.9,0.258
U00040,Équilibré,10,1945.64,0.587,36.7,0.283
U00041,Prudent,3,919.82,0.236,197.7,0.1
U00042,Équilibré,9,1374.03,0.486,33.0,0.325
U00043,Prudent,5,779.53,0.15,133.9,0.096
U00044,Aventurier,34,4599.8,0.64,7.3,0.5
